# PyATRAC1 Debug Log - 2025-06-11 13:45:08
# Format: [TIMESTAMP][IMPL][FILE:LINE][FUNC][CH{n}][FR{nnn}][BAND_{name}] STAGE: data_type=values |META: ... |SRC: ...
#
[2025-06-11T13:45:08.838389][PYTRAC][qmf.py:104][analysis][CH0][FR001][BAND_QMF2] QMF_FINAL_UPPER: SAMPLES=[-0.000006,0.000001,0.000008,0.000015,0.000022...0.000062,0.000066,0.000069,0.000071,0.000073] |META: size=16 range=[-0.000006,0.000073] sum=0.000646 mean=0.000040 nonzero=16 |SRC:
[2025-06-11T13:45:08.838496][PYTRAC][qmf.py:105][analysis][CH0][FR001][BAND_QMF2] QMF_STATS: RANGE=[-3.999478,3.999478,-0.000074,0.000074] |META: size=4 range=[-3.999478,3.999478] sum=0.000000 mean=0.000000 nonzero=4 |SRC:
[2025-06-11T13:45:08.838610][PYTRAC][qmf.py:233][analysis][CH0][FR001][BAND_FULL] QMF_FINAL_LOW: BAND=[-3.985031,-3.999478,-3.975409,-3.913054,-3.813014...-3.352714,-3.550363,-3.713820,-3.841511,-3.932206] |META: size=128 range=[-3.999478,3.999478] sum=0.000000 mean=0.000000 nonzero=128 |SRC: qmf_operation=final_output
[2025-06-11T13:45:08.838728][PYTRAC][qmf.py:234][analysis][CH0][FR001][BAND_FULL] QMF_FINAL_MID: BAND=[-0.000006,0.000001,0.000008,0.000015,0.000022...-0.000040,-0.000034,-0.000027,-0.000020,-0.000014] |META: size=128 range=[-0.000074,0.000074] sum=0.000000 mean=0.000000 nonzero=128 |SRC: qmf_operation=final_output
[2025-06-11T13:45:08.838832][PYTRAC][qmf.py:235][analysis][CH0][FR001][BAND_FULL] QMF_FINAL_HIGH: BAND=[-0.000017,-0.000016,-0.000016,-0.000015,-0.000014...-0.000020,-0.000019,-0.000019,-0.000018,-0.000018] |META: size=256 range=[-0.000022,0.000022] sum=0.000000 mean=0.000000 nonzero=256 |SRC: qmf_operation=final_output
[2025-06-11T13:45:08.838974][PYTRAC][qmf.py:236][analysis][CH0][FR001][BAND_FULL] QMF_BAND_STATS: ENERGY=[1023.887207,0.000000,0.000000] |META: size=3 range=[0.000000,1023.887207] sum=1023.887207 mean=341.295746 nonzero=3 |SRC: statistic=band_energy
[2025-06-11T13:45:08.842160][PYTRAC][debug_logger.py:202][log_debug][CH0][FR000][BAND_LOW] MDCT_QMF_INPUT_RAW: samples=[0.000000,0.000000,-0.000000,-0.000000,-0.000000...-3.352714,-3.550363,-3.713820,-3.841511,-3.932206] |META: size=128 range=[-3.999478,3.999478] sum=46.222389 mean=0.361112 nonzero=128 |SRC: algorithm=buffer_tracking operation=qmf_input
[2025-06-11T13:45:08.842376][PYTRAC][debug_logger.py:202][log_debug][CH0][FR000][BAND_MID] MDCT_QMF_INPUT_RAW: samples=[0.000000,0.000000,0.000000,0.000000,0.000000...-0.000040,-0.000034,-0.000027,-0.000020,-0.000014] |META: size=128 range=[-0.012875,0.011992] sum=-0.013023 mean=-0.000102 nonzero=128 |SRC: algorithm=buffer_tracking operation=qmf_input
[2025-06-11T13:45:08.842510][PYTRAC][debug_logger.py:202][log_debug][CH0][FR000][BAND_HIGH] MDCT_QMF_INPUT_RAW: samples=[0.000000,0.000000,0.000000,0.000000,0.000000...-0.000020,-0.000019,-0.000019,-0.000018,-0.000018] |META: size=256 range=[-0.002656,0.007297] sum=0.005866 mean=0.000023 nonzero=217 |SRC: algorithm=buffer_tracking operation=qmf_input
[2025-06-11T13:45:08.842661][PYTRAC][debug_logger.py:202][log_debug][CH0][FR000][BAND_LOW] MDCT_PERSISTENT_AFTER_COPY: samples=[0.000000,0.000000,-0.000000,-0.000000,-0.000000...-3.352714,-3.550363,-3.713820,-3.841511,-3.932206] |META: size=128 range=[-3.999478,3.999478] sum=46.222389 mean=0.361112 nonzero=128 |SRC: algorithm=buffer_tracking operation=after_copy
[2025-06-11T13:45:08.842771][PYTRAC][debug_logger.py:202][log_debug][CH0][FR000][BAND_MID] MDCT_PERSISTENT_AFTER_COPY: samples=[0.000000,0.000000,0.000000,0.000000,0.000000...-0.000040,-0.000034,-0.000027,-0.000020,-0.000014] |META: size=128 range=[-0.012875,0.011992] sum=-0.013023 mean=-0.000102 nonzero=128 |SRC: algorithm=buffer_tracking operation=after_copy
[2025-06-11T13:45:08.842877][PYTRAC][debug_logger.py:202][log_debug][CH0][FR000][BAND_HIGH] MDCT_PERSISTENT_AFTER_COPY: samples=[0.000000,0.000000,0.000000,0.000000,0.000000...-0.000020,-0.000019,-0.000019,-0.000018,-0.000018] |META: size=256 range=[-0.002656,0.007297] sum=0.005866 mean=0.000023 nonzero=217 |SRC: algorithm=buffer_tracking operation=after_copy
[2025-06-11T13:45:08.842970][PYTRAC][mdct.py:361][mdct][CH0][FR000][BAND_LOW] MDCT_INPUT: samples=[0.000000,0.000000,-0.000000,-0.000000,-0.000000...-3.352714,-3.550363,-3.713820,-3.841511,-3.932206] |META: size=128 range=[-3.999478,3.999478] sum=46.222389 mean=0.361112 nonzero=128 |SRC: algorithm=mdct mdct_size=64 window_type=short
[2025-06-11T13:45:08.843068][PYTRAC][mdct.py:364][mdct][CH0][FR000][BAND_MID] MDCT_INPUT: samples=[0.000000,0.000000,0.000000,0.000000,0.000000...-0.000040,-0.000034,-0.000027,-0.000020,-0.000014] |META: size=128 range=[-0.012875,0.011992] sum=-0.013023 mean=-0.000102 nonzero=128 |SRC: algorithm=mdct mdct_size=64 window_type=short
[2025-06-11T13:45:08.843153][PYTRAC][mdct.py:367][mdct][CH0][FR000][BAND_HIGH] MDCT_INPUT: samples=[0.000000,0.000000,0.000000,0.000000,0.000000...-0.000020,-0.000019,-0.000019,-0.000018,-0.000018] |META: size=256 range=[-0.002656,0.007297] sum=0.005866 mean=0.000023 nonzero=217 |SRC: algorithm=mdct mdct_size=64 window_type=short
[2025-06-11T13:45:08.843247][PYTRAC][debug_logger.py:202][log_debug][CH0][FR000][BAND_LOW] MDCT_INPUT_LOW: samples=[0.000000,0.000000,-0.000000,-0.000000,-0.000000...-3.352714,-3.550363,-3.713820,-3.841511,-3.932206] |META: size=128 range=[-3.999478,3.999478] sum=46.222389 mean=0.361112 nonzero=128 |SRC: algorithm=mdct
